"","company","rank","revenues","profits","employees","sector","city","state","ceo_founder","ceo_woman","profitable","market_cap","website","ticker","assets"
"383","Darden Restaurants",383,"$10487.8MM","$981.9MM",187384,"Hotels, Restaurants & Leisure","Orlando","Florida","no","no","yes","$19959.5MM","https://www.darden.com","DRI","$10241.5MM"
"384","Autoliv",384,"$10475MM","$488MM",66434,"Motor Vehicles & Parts","Auburn Hills","Michigan","no","no","yes","$9809.7MM","https://www.autoliv.com","ALV","$8332MM"
"385","Alaska Air Group",385,"$10426MM","$235MM",24610,"Transportation","Seattle","Washington","no","no","yes","$5408.1MM","https://www.alaskaair.com","ALK","$14613MM"
"386","KeyCorp",386,"$10397MM","$967MM",17692,"Financials","Cleveland","Ohio","no","no","yes","$14663.3MM","https://www.key.com","KEY","$188281MM"
"387","Las Vegas Sands",387,"$10372MM","$1221MM",38550,"Hotels, Restaurants & Leisure","Las Vegas","Nevada","no","no","yes","$38840.4MM","https://www.sands.com","LVS","$21778MM"
"388","Owens & Minor",388,"$10334MM","$-41.3MM",22200,"Health Care","Mechanicsville","Virginia","no","no","no","$2122.5MM","https://www.owens-minor.com","OMI","$5093.3MM"
"389","Hilton Worldwide Holdings",389,"$10235MM","$1141MM",178000,"Hotels, Restaurants & Leisure","McLean","Virginia","no","no","yes","$53788.4MM","https://www.hilton.com","HLT","$15401MM"
"390","Ebay",390,"$10112MM","$2767MM",12300,"Technology","San Jose","California","no","no","yes","$27340MM","https://www.ebay.com","EBAY","$21620MM"
"391","Arthur J. Gallagher",391,"$10071.9MM","$969.5MM",52118,"Financials","Rolling Meadows","Illinois","no","no","yes","$54584.4MM","https://www.ajg.com","AJG","$51615.8MM"
"392","LPL Financial Holdings",392,"$10052.8MM","$1066.3MM",7372,"Financials","San Diego","California","no","no","yes","$19735.9MM","https://www.lpl.com","LPLA","$10385.5MM"
"393","Cincinnati Financial",393,"$10013.4MM","$1843.3MM",5426,"Financials","Fairfield","Ohio","no","no","yes","$19456.1MM","https://www.cinfin.com","CINF","$32769.5MM"
